Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Ishak A.M., Remesan R., Srivastava P.K., Islam T., Han D.","36622107300;16242507700;23490592400;54902712400;55480762900;","Error Correction Modelling of Wind Speed Through Hydro-Meteorological Parameters and Mesoscale Model: A Hybrid Approach",2013,"Water Resources Management","27","1",,"1","23",,33,"10.1007/s11269-012-0130-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871434368&doi=10.1007%2fs11269-012-0130-1&partnerID=40&md5=e43a0763070eaa6965210d4973749174","WEMRC, Department of Civil Engineering, University of Bristol, Bristol, BS81TR, United Kingdom; Department of Geography, University of Hull, Cottingham Road, Hull, HU6 7RX, United Kingdom; Hydrology and Water Resources Division, Department of Irrigation and Drainage, Ministry of Natural Resources and Environment, KM 7, Jalan Ampang, 68000 Kuala Lumpur, Malaysia","Ishak, A.M., WEMRC, Department of Civil Engineering, University of Bristol, Bristol, BS81TR, United Kingdom, Hydrology and Water Resources Division, Department of Irrigation and Drainage, Ministry of Natural Resources and Environment, KM 7, Jalan Ampang, 68000 Kuala Lumpur, Malaysia; Remesan, R., Department of Geography, University of Hull, Cottingham Road, Hull, HU6 7RX, United Kingdom; Srivastava, P.K., WEMRC, Department of Civil Engineering, University of Bristol, Bristol, BS81TR, United Kingdom; Islam, T., WEMRC, Department of Civil Engineering, University of Bristol, Bristol, BS81TR, United Kingdom; Han, D., WEMRC, Department of Civil Engineering, University of Bristol, Bristol, BS81TR, United Kingdom","Accurate estimation of wind speed is essential for many hydrological applications. One way to generate wind velocity is from the fifth generation PENN/NCAR MM5 mesoscale model. However, there is a problem in using wind speed data in hydrological processes due to large errors obtained from the mesoscale model MM5. The theme of this article has been focused on hybridization of MM5 with four mathematical models (two regression models- the multiple linear regression (MLR) and the nonlinear regression (NLR), and two artificial intelligence models - the artificial neural network (ANN) and the support vector machines (SVMs)) in such a way so that the properly modelled schemes reduce the wind speed errors with the information from other MM5 derived hydro-meteorological parameters. The forward selection method was employed as an input variable selection procedure to examine the model generalization errors. The input variables of this statistical analysis include wind speed, temperature, relative humidity, pressure, solar radiation and rainfall from the MM5. The proposed conjunction structure was calibrated and validated at the Brue catchment, Southwest of England. The study results show that relatively simple models like MLR are useful tools for positively altering the wind speed time series obtaining from the MM5 model. The SVM based hybrid scheme could make a better robust modelling framework capable of capturing the non-linear nature than that of the ANN based scheme. Although the proposed hybrid schemes are applied on error correction modelling in this study, there are further scopes for application in a wide range of areas in conjunction with any higher end models. © 2012 Springer Science+Business Media B.V.","Artificial neural network (ANN); Input variable selection; Linear and non-linear regression; Meteorology and hydrology; MM5 dynamical downscaling; Numerical weather prediction (NWP) model; Support vector machine (SVM)","Boundary layers; Catchments; Error correction; Linear regression; Neural networks; Speed; Support vector machines; Support vector regression; Weather forecasting; Dynamical downscaling; Input variable selection; Meteorological parameters; Multiple linear regressions; Non-linear regression; Numerical weather prediction models; Support vector machine (SVMs); Wind speed time series; Wind; artificial neural network; downscaling; error correction; hydrometeorology; mesoscale meteorology; multiple regression; numerical model; weather forecasting; wind velocity",Article,"Final","",Scopus,2-s2.0-84871434368
"Bridge J.P., Paulson L.C.","55533828300;7005293178;","Case splitting in an automatic theorem prover for real-valued special functions",2013,"Journal of Automated Reasoning","50","1",,"99","117",,5,"10.1007/s10817-012-9245-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871392968&doi=10.1007%2fs10817-012-9245-6&partnerID=40&md5=ba570c1282fe62d1979b91ff65d373d1","Computer Laboratory, University of Cambridge, Cambridge, United Kingdom","Bridge, J.P., Computer Laboratory, University of Cambridge, Cambridge, United Kingdom; Paulson, L.C., Computer Laboratory, University of Cambridge, Cambridge, United Kingdom","Case splitting, with and without backtracking, is compared with straightforward ordered resolution. Both forms of splitting have been implemented for MetiTarski, an automatic theorem prover for real-valued special functions such as exp, ln, sin, cos and tan-1. The experimental findings confirm the superiority of true backtracking over the simulation of backtracking through the introduction of new predicate symbols, and the superiority of both over straightforward resolution. © 2012 Springer Science+Business Media B.V.","MetiTarski; Resolution theorem proving; SPASS; Splitting","Case splitting; MetiTarski; Ordered resolution; Resolution theorem proving; SPASS; Special functions; Splitting; Theorem provers; Artificial intelligence; Automata theory; Software engineering; Theorem proving",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84871392968
"Zhou J., Lu J., Li J.","7405551486;7601559798;55965508200;","Ant-based routing protocol for energy efficient use in mobile ad hoc networks",2013,"Lecture Notes in Electrical Engineering","214 LNEE",,,"629","637",,1,"10.1007/978-94-007-5857-5_68","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870845767&doi=10.1007%2f978-94-007-5857-5_68&partnerID=40&md5=cf88797d623c258a3cf651288e24dedd","Department of Computer Science, Jinan University, 510632 Guang Zhou, China","Zhou, J., Department of Computer Science, Jinan University, 510632 Guang Zhou, China; Lu, J., Department of Computer Science, Jinan University, 510632 Guang Zhou, China; Li, J., Department of Computer Science, Jinan University, 510632 Guang Zhou, China","Ant colony optimization (ACO) routing algorithm is one of adaptive and efficient algorithms for mobile ad hoc networks (MANETs). In wireless ad hoc networks, energy utilization is perhaps the most important issue, routing is very much energy-constrained. In this paper, an ant-based energy efficient routing protocol (AEERP) is proposed in MANETs. In AEERP routing protocol, the route choice is dependent on not only hops between nodes, but also the energy consumed in transmitting packets and the residual energy of nodes, it increases the battery lifetime of the nodes by reducing the repetitive use of these nodes. Simulation results show that AEERP can balance the energy consumption of nodes in the network and extends the network lifetime. AEERP has better performance than AntHocNet and MMBCR in balanced energy use and network lifetime. © 2013 Springer Science+Business Media.","Ant colony optimization; Energy efficiency; Mobile ad hoc network; Routing protocols","Ant based routing; Ant Colony Optimization (ACO); Balanced energy; Battery lifetime; Energy efficient routing protocol; Energy efficient use; Energy-constrained; Network lifetime; Residual energy; Route choice; Algorithms; Artificial intelligence; Energy efficiency; Energy utilization; Information technology; Routing protocols; Mobile ad hoc networks",Conference Paper,"Final","",Scopus,2-s2.0-84870845767
"Teixeira E.L.S., Tjahjono B., Alfaro S.C.A., Julião J.M.S.","25628997000;23010826900;7003679492;55510225600;","Harnessing prognostics health management and product-service systems interaction to support operational decisions",2013,"Journal of Manufacturing Technology Management","24","1",,"78","94",,9,"10.1108/17410381311287490","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870496148&doi=10.1108%2f17410381311287490&partnerID=40&md5=b2e54fc1de1f3c8360deb5a8502a4198","Faculty of Gamma, University of Brasilia, Gama, Brazil; Manufacturing Department, Cranfield University, Cranfield, United Kingdom; Faculty of Technology, University of Brasilia, Brasilia, Brazil; Faculty of Engineering, Universidade Católica Portuguesa, Lisbon, Portugal","Teixeira, E.L.S., Faculty of Gamma, University of Brasilia, Gama, Brazil; Tjahjono, B., Manufacturing Department, Cranfield University, Cranfield, United Kingdom; Alfaro, S.C.A., Faculty of Technology, University of Brasilia, Brasilia, Brazil; Julião, J.M.S., Faculty of Engineering, Universidade Católica Portuguesa, Lisbon, Portugal","Purpose - Prognostics and health management (PHM) can support product-service systems (PSS) contracts, especially in the case of high technology products where their condition and performance can be monitored. The purpose of this paper is to investigate how PHM can support effective execution of some PSS contracts and to set out the future research agenda for the development of an online simulation modelling framework that will further harness the interaction between PHM and PSS. Design/methodology/approach - The research methodology commenced by collating facts and figures from the existing body of knowledge, from which a set of key findings is presented from both technical and business perspectives. Analysis of the key findings highlights the current state of PHM-PSS interaction, the capability of existing tools and techniques and a comprehensive analysis of PSS performances, with and without PHM. Findings - Increased demand for total asset performance from the customers has been the main driver for PSS providers to adopt PHM technology. In the case of high value assets, PHM is used to capture the condition of the assets and to feed this information back to the PSS operations management which, in turn, will be used to plan a maintenance regime, spare parts provision, as well as to mitigate the dynamic behaviour which commonly occurs in PSS. Simulation modelling, driven by asset health condition, shows a considerable potential as an effective tool to control the execution of the PSS contract. In addition to the benefits from the maintenance services, the PHM-PSS interaction can increase the controllability of the PSS contract execution and allow future modifications to PSS contracts. Originality/value - The value of this paper lies in the comprehensive analysis of the interaction between PHM and PSS, especially focusing on the interaction during the PSS contract execution. This paper demonstrates the strengths and weaknesses of existing research in the research domain, and highlights the opportunities for future research. © Emerald Group Publishing Limited.","Decision making; Decision support systems; Dynamic behaviour; Online simulation; Operations management; Product-service systems; Prognostics and health management","Dynamic behaviours; Online simulation; Operations management; Product-service systems; Prognostics and health managements; Artificial intelligence; Computer simulation; Decision making; Decision support systems; Maintenance; Systems engineering; Research",Article,"Final","",Scopus,2-s2.0-84870496148
"Noran O.","6506759416;","Building a support framework for enterprise integration",2013,"Computers in Industry","64","1",,"29","40",,8,"10.1016/j.compind.2012.09.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870302844&doi=10.1016%2fj.compind.2012.09.006&partnerID=40&md5=8c5cc5b5d254eeb6f1764fb2db8e3cb2","Griffith University Australia, School of ICT, Australia","Noran, O., Griffith University Australia, School of ICT, Australia","Knowing 'what to do next' and what artefacts to use so as to achieve the desired future state of an enterprise is a recurring management conundrum. This paper describes a framework (and a possible application) aimed to support the efforts to achieve and maintain enterprises (or networks thereof) in a state where the flows of material and information are seamlessly integrated so as to not only achieve the internal and external synergy and agility required to survive but also to thrive in today's fast-evolving business environment. The framework is based on the integration of a structured repository containing architecture framework elements and a set of steps guiding the creation of specific enterprise engineering tasks. An outline of the theoretical foundation is followed by a high-level description of the requirements, architectural and detailed design descriptions of the proposed support framework and its potential application as a decision support system. © 2012 Elsevier B.V.","Enterprise architecture; Enterprise integration; Meta-methodology","Architecture frameworks; Business environments; Detailed design; Enterprise Architecture; Enterprise engineering; Enterprise Integration; Enterprise IS; Flows of materials; High level description; Meta-methodology; OR-networks; Potential applications; Theoretical foundations; Artificial intelligence; Decision support systems; Integration; Industry",Article,"Final","",Scopus,2-s2.0-84870302844
"Liang Y.-C., Hsiao Y.-M., Tien C.-Y.","7403499508;36537013900;55015242100;","Metaheuristics for drilling operation scheduling in Taiwan PCB industries",2013,"International Journal of Production Economics","141","1",,"189","198",,7,"10.1016/j.ijpe.2012.04.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869498849&doi=10.1016%2fj.ijpe.2012.04.014&partnerID=40&md5=2d0aae562ff66416ba60c3aa2ccf32d2","Department of Industrial Engineering and Management, Yuan Ze University, No. 135 Yuan-Tung Road, Chungli, Taoyuan County, 320, Taiwan","Liang, Y.-C., Department of Industrial Engineering and Management, Yuan Ze University, No. 135 Yuan-Tung Road, Chungli, Taoyuan County, 320, Taiwan; Hsiao, Y.-M., Department of Industrial Engineering and Management, Yuan Ze University, No. 135 Yuan-Tung Road, Chungli, Taoyuan County, 320, Taiwan; Tien, C.-Y., Department of Industrial Engineering and Management, Yuan Ze University, No. 135 Yuan-Tung Road, Chungli, Taoyuan County, 320, Taiwan","Among all types of production environment, identical parallel machines are frequently used to increase the manufacturing capacity of the drilling operation in Taiwan printed circuit board (PCB) industries. Additionally, multiple but conflicting objectives are usually considered when a manager plans the production scheduling. Compared to the single objective problem, the multiple-objective version no longer looks for an individual optimal solution, but a Pareto front consisting of a set of non-dominated solutions will be needed and established. The manager then can select one of the alternatives from the set. This research aims at employing a variable neighborhood search (VNS) algorithm and a multiple ant colony optimization (MACO) algorithm to solve the identical parallel-machine scheduling problem with two conflicting objectives: makespan and total tardiness. In VNS, two neighborhoods are defined - insert a job to a different position or swap two jobs in the sequence. To save the computational expense, one of the neighborhoods is randomly selected for the target solution which is also arbitrarily chosen from the current Pareto front. In MACO, a two-phase construction procedure where three colonies are employed in each phase is proposed. These two algorithms are tested on a set of real data collected from a leading PCB factory in Taiwan and their performances are compared. The computational results show that VNS outperforms all competing algorithms - SPGA, MOGA, NSGA-II, SPEA-II, and MACO in terms of solution quality and computational time. © 2012 Elsevier B.V. All rights reserved.","Identical parallel-machine; Makespan; Multiple ant colony optimization; Total tardiness; Variable neighborhood search","Ant Colony Optimization (ACO); Identical parallel-machine; Makespan; Total tardiness; Variable neighborhood search; Artificial intelligence; Business machines; Management; Managers; Printed circuit boards; Production control; Production engineering; Scheduling algorithms; Organic pollutants",Article,"Final","",Scopus,2-s2.0-84869498849
"Wu Y., Jiang Z.","35079923400;35118862900;","A performance measurement system for supply chain based on AI and J2EE",2013,"Advances in Intelligent Systems and Computing","181 AISC",,,"761","767",,,"10.1007/978-3-642-31698-2_107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868323059&doi=10.1007%2f978-3-642-31698-2_107&partnerID=40&md5=9e1587ecf08782100b204f294f422332","School of Business, Shandong Jianzhu University, Jinan, China","Wu, Y., School of Business, Shandong Jianzhu University, Jinan, China; Jiang, Z., School of Business, Shandong Jianzhu University, Jinan, China","Performance measurement systems have become very popular and largely applied in organizations, as they provide not only a tool for measuring and controlling performance activities, but also a powerful management tool at the most strategic business level. The necessity for researching on a performance measurement system for supply chain based on AI and J2EE is discussed. Furthermore an integrated performance measurement system for supply chain based on AI and J2EE is proposed. Finally, the plan to design and implement the system is expounded. © 2013 Springer-Verlag.","AI; J2EE; Performance measurement system; Supply chain","Artificial intelligence; Communication; Supply chains; J2EE; Management tool; Performance measurement system; Strategic business; Supply chain management",Conference Paper,"Final","",Scopus,2-s2.0-84868323059
"Zhang Z., Li X., Liu Y., Li X.","57192636635;55265862600;55446527000;57192491800;","Hierarchical image analysis based on fuzzy control",2013,"Advances in Intelligent Systems and Computing","181 AISC",,,"87","91",,,"10.1007/978-3-642-31698-2_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868314964&doi=10.1007%2f978-3-642-31698-2_13&partnerID=40&md5=9e44d3067067e76af73d542cbfbec327","Changchun Normal University, Computer Science and Technology Institute, Changchun, Jilin Province 130032, China; Changchun Normal University, Changchun, Jilin Province 130032, China; Jilin University, Changchun, China","Zhang, Z., Changchun Normal University, Computer Science and Technology Institute, Changchun, Jilin Province 130032, China; Li, X., Changchun Normal University, Computer Science and Technology Institute, Changchun, Jilin Province 130032, China; Liu, Y., Changchun Normal University, Changchun, Jilin Province 130032, China; Li, X., Jilin University, Changchun, China","Based on fuzzy mathematics gained considerable development in the theory and application have achieved fruitful results impressive. Applications of fuzzy mathematics has been related to automatic control, image and text recognition, artificial intelligence, geology, seismology, medical diagnostics, weather analysis, aviation, aerospace, ship train car to drive, traffic management, decision evaluation, business management and socio-economic many aspects. © 2013 Springer-Verlag.","Fuzzy mathematics; Image analysis","Automation; Character recognition; Communication; Control; Fuzzy control; Image analysis; Medical imaging; Business management; Fuzzy mathematics; Medical diagnostics; Socio-economics; Text recognition; Traffic management; Weather analysis; Mathematical techniques",Conference Paper,"Final","",Scopus,2-s2.0-84868314964
"Varela-Vaca A.J., Warschofsky R., Gasca R.M., Pozo S., Meinel C.","25642067800;35148760300;8889556900;13608055000;56187776800;","A security pattern-driven approach toward the automation of risk treatment in business processes",2013,"Advances in Intelligent Systems and Computing","189 AISC",,,"13","23",,9,"10.1007/978-3-642-33018-6_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868135417&doi=10.1007%2f978-3-642-33018-6_2&partnerID=40&md5=3c2928f3ae1bcf628fa767fd4346a1ba","Computer Languages and Systems Department, Quivir Research Group, University of Seville, Avd. Reina Mercedes S/N, Seville, Spain; Hasso-Plattner-Institute, Prof.-Dr.-Helmert Str. 2-3, 14482 Potsdam, Germany","Varela-Vaca, A.J., Computer Languages and Systems Department, Quivir Research Group, University of Seville, Avd. Reina Mercedes S/N, Seville, Spain; Warschofsky, R., Hasso-Plattner-Institute, Prof.-Dr.-Helmert Str. 2-3, 14482 Potsdam, Germany; Gasca, R.M., Computer Languages and Systems Department, Quivir Research Group, University of Seville, Avd. Reina Mercedes S/N, Seville, Spain; Pozo, S., Computer Languages and Systems Department, Quivir Research Group, University of Seville, Avd. Reina Mercedes S/N, Seville, Spain; Meinel, C., Hasso-Plattner-Institute, Prof.-Dr.-Helmert Str. 2-3, 14482 Potsdam, Germany","Risk management has become an essential mechanism for business and security analysts, since it enable the identification, evaluation and treatment of any threats, vulnerabilities, and risks to which organizations maybe be exposed. In this paper, we discuss the need to provide a standard representation of security countermeasures in order to automate the selection of countermeasures for business processes. The main contribution lies in the specification of security pattern as standard representation for countermeasures. Classical security pattern structure is extended to incorporate new features that enable the automatic selection of security patterns. Furthermore, a prototype has been developed which support the specification of security patterns in a graphical way. © 2013 Springer-Verlag Berlin Heidelberg.","Automation; Business Process Management; Pattern; Risk Treatment; Security","Artificial intelligence; Automation; Enterprise resource management; Risk management; Soft computing; Automatic selection; Business Process; Business process management; Pattern; Risk treatment; Security; Security countermeasures; Security patterns; Specifications",Conference Paper,"Final","",Scopus,2-s2.0-84868135417
"Lu J., Niu L., Zhang G.","7601559842;55440600400;7405270696;","A situation retrieval model for cognitive decision support in digital business ecosystems",2013,"IEEE Transactions on Industrial Electronics","60","3","6153372","1059","1069",,12,"10.1109/TIE.2012.2188253","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868089009&doi=10.1109%2fTIE.2012.2188253&partnerID=40&md5=d8b165b5a2bd5c708d4105d02a63a5be","Centre for Quantum Computation and Intelligent Systems (QCIS), School of Software, University of Technology, Sydney, NSW 2007, Australia; Eurlanda Computing P/L, Sydney, NSW 2229, Australia","Lu, J., Centre for Quantum Computation and Intelligent Systems (QCIS), School of Software, University of Technology, Sydney, NSW 2007, Australia; Niu, L., Eurlanda Computing P/L, Sydney, NSW 2229, Australia; Zhang, G., Centre for Quantum Computation and Intelligent Systems (QCIS), School of Software, University of Technology, Sydney, NSW 2007, Australia","This paper presents a novel situation retrieval (SR) model for supporting cognition-driven decision processes in digital business ecosystems. Cognitive decision support in digital ecosystems is concerned with decision makers' cognitive processes. This study aims to facilitate cognitive decision support to decision makers on the basis of current business intelligence (BI) platform. Underlying foundations of the SR model are two types of mental constructs: situation awareness (SA) and mental models of decision makers and the model of naturalistic decision making (NDM). These mental constructs and NDM are integrated into the BI application framework. Our experiments showed that the SR model was playing a nontrivial role to help decision makers develop enhanced SA and reuse their past experience to make better decisions. © 2012 IEEE.","Business intelligence (BI); cognitive decision support; decision support systems (DSSs); digital business ecosystems; digital ecosystems; situation awareness (SA)","Artificial intelligence; Competitive intelligence; Decision making; Ecosystems; Application frameworks; Cognitive process; Decision makers; Decision process; Decision supports; Digital business ecosystems; Digital ecosystem; Mental model; Retrieval models; Situation awareness; Decision support systems",Article,"Final","",Scopus,2-s2.0-84868089009
"Beckerleg M., Collins J.","18933379000;56901669100;","An analysis of the genetic evolution of a ball-beam robotic controller based on a three dimensional look up table chromosome",2013,"Lecture Notes in Electrical Engineering","170 LNEE",,,"109","122",,3,"10.1007/978-94-007-4786-9_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867114010&doi=10.1007%2f978-94-007-4786-9_9&partnerID=40&md5=7b5850b2ddb94d3554d89f59f248d16e","School of Engineering, AUT University, AUT City Campus, Private Bag 92006, Auckland 1142, New Zealand","Beckerleg, M., School of Engineering, AUT University, AUT City Campus, Private Bag 92006, Auckland 1142, New Zealand; Collins, J., School of Engineering, AUT University, AUT City Campus, Private Bag 92006, Auckland 1142, New Zealand","This chapter describes how a robotic controller based on a 3-dimensional lookup table was used to control a ball balancing beam system. The evolved motion of the beam and the corresponding chromosome is analysed. The 3 system states of the ball and beam were translated by the lookup table into a motor speed and direction which maintained the ball in balance. The ball-beam states included the ball position, ball speed, and beam position. The reproduction method used 2-point crossover with a mutation rate of 2 percent. The selection method was tournament, and the population size was 100 individuals. Successful evolution was achieved on 4 lookup tables, each containing different maximum motor speeds. Each evolved lookup table was able to maintain the ball in balance for more than 5 minutes. © 2013 Springer Science+Business Media.","Artificial intelligence; Ball balancing beam; Ball-beam; Evolution; Evolvable robotics; Evolving lookup tables; Genetic algorithms; Lookup table-based controllers; Metaheuristic optimization; Robotics","Ball balancing beam; Ball-beam; Evolution; Evolvable; Lookups; Metaheuristic optimization; Artificial intelligence; Chromosomes; Computer science; Genetic algorithms; Population statistics; Table lookup; Robotics",Conference Paper,"Final","",Scopus,2-s2.0-84867114010
"Bernroider E.W.N., Schmöllerl P.","35547001000;55343140900;","A technological, organisational, and environmental analysis of decision making methodologies and satisfaction in the context of IT induced business transformations",2013,"European Journal of Operational Research","224","1",,"141","153",,33,"10.1016/j.ejor.2012.07.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866729526&doi=10.1016%2fj.ejor.2012.07.025&partnerID=40&md5=35b7eb1e285fa19a3720f98bc281c7c6","Institute for Information Management and Control, WU - Vienna University of Economics and Business, Augasse 2-6, A-1090 Vienna, Austria","Bernroider, E.W.N., Institute for Information Management and Control, WU - Vienna University of Economics and Business, Augasse 2-6, A-1090 Vienna, Austria; Schmöllerl, P., Institute for Information Management and Control, WU - Vienna University of Economics and Business, Augasse 2-6, A-1090 Vienna, Austria","Although Operational Research (OR) has successfully provided many methodologies to address complex decision problems, in particular based on the rationality principle, there has been too little discussion regarding their limited consideration in IT evaluation practice and associated decision making satisfaction levels in an organisational context. The aim of this paper is to address these issues through providing a current account of diffusion and infusion of OR methodologies in IT decision making practice, and by analysing factors affecting decision making satisfaction from a Technological, Organisational, and Environmental (TOE) framework in the context of IT induced business transformations. We developed a structural equation model and conducted an empirical survey, which supported four out of five developed research hypotheses. Our results show that while Decision Support Systems (DSSs), holistic IT evaluation methods, and management support seem to positively affect individual satisfaction, legislative regulation has an adverse effect. Results also revealed a persistent methodology diffusion and infusion gap. The paper discusses implications in each of these aspects and presents opportunities for future work. © 2012 Elsevier B.V. All rights reserved.","Decision analysis; Decision making methods; Decision satisfaction; Decision Support Systems; Structural equation modelling; TOE framework","Adverse effect; Business transformations; Complex decision; Decision making methodology; Decision satisfaction; Decision-making method; Decision-making practices; Empirical surveys; Environmental analysis; IT evaluation; Management support; Operational research; Structural equation modelling; Structural equation models; TOE framework; Artificial intelligence; Behavioral research; Decision making; Decision support systems; Decision theory; Information technology",Article,"Final","",Scopus,2-s2.0-84866729526
"Minutolo A., Esposito M., De Pietro G.","35368923100;25926920500;6508247659;","A pattern-based approach for representing condition-action clinical rules into DSSs",2013,"Lecture Notes in Electrical Engineering","152 LNEE",,,"777","789",,2,"10.1007/978-1-4614-3535-8_65","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866617727&doi=10.1007%2f978-1-4614-3535-8_65&partnerID=40&md5=432789259a3696521079bad4ea76a7a5","Institute for High Performance Computing and Networking, ICAR-CNR, Via P. Castellino 111, Naples 80131, Italy; University of Naples Parthenope, Centro Direzionale, Isola C4, Naples 80143, Italy","Minutolo, A., Institute for High Performance Computing and Networking, ICAR-CNR, Via P. Castellino 111, Naples 80131, Italy, University of Naples Parthenope, Centro Direzionale, Isola C4, Naples 80143, Italy; Esposito, M., Institute for High Performance Computing and Networking, ICAR-CNR, Via P. Castellino 111, Naples 80131, Italy; De Pietro, G., Institute for High Performance Computing and Networking, ICAR-CNR, Via P. Castellino 111, Naples 80131, Italy","The integration of clinical recommendations into clinical Decision Support Systems (DSSs), aims at increasing the consistent, effective, and efficient of the daily medical practice. The actual application of those systems to medical settings depends on the severity of the upgradability and maintainability they require. With this respect, this paper proposes a pattern-based approach to guide and assist physicians in the process of editing and formalizing clinical recommendations, formalized as if-then rules. © 2013 Springer Science+Business Media.",,"Clinical decision support systems; If-then rules; Medical practice; Medical settings; Artificial intelligence; Decision support systems; Innovation",Conference Paper,"Final","",Scopus,2-s2.0-84866617727
"Stylianou V., Savva A., Spyrou S.","25639229100;6602157693;55364561900;","Business intelligence made simple",2013,"Lecture Notes in Electrical Engineering","152 LNEE",,,"1001","1012",,1,"10.1007/978-1-4614-3535-8_83","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866599227&doi=10.1007%2f978-1-4614-3535-8_83&partnerID=40&md5=bbddf8ce6eee5a11b43b88f52e85d1d8","University of Nicosia, 46 Makedonitissas Avenue, Nicosia 1700, Cyprus","Stylianou, V., University of Nicosia, 46 Makedonitissas Avenue, Nicosia 1700, Cyprus; Savva, A., University of Nicosia, 46 Makedonitissas Avenue, Nicosia 1700, Cyprus; Spyrou, S., University of Nicosia, 46 Makedonitissas Avenue, Nicosia 1700, Cyprus","Business Intelligence (BI) refers to a very broad category of applications which assist executive business users to improve their decision making and strategic planning by collecting, storing and analysing a usually large volume of historically collected data and providing access to powerful and dynamic query results. Business Intelligence Systems (BIS) are also sometimes referred to as Decision Support Systems due to the fact that they provide support to users and organisations concerning their decision making. Without a doubt, BI is extremely vital for all organisations in today's competitive business environment where even the smallest detail could affect the future of an organization. The study of BI is of interest to Computer Science (CS) and possibly the related Computer Engineering majors as well as Management Information Systems (MIS) and in broad to Business Studies majors. A course on BI is not usually a major requirement in any one of these curriculums, and it may not even appear as a major elective but rather be included in some other related course. For example, in the CS undergraduate university curriculum the topic of Business Intelligence may be touched upon briefly in a course on Database Management and in the graduate CS curriculum it usually becomes part of a Knowledge Management course. In the undergraduate (MIS) curriculum some additional mentioning is usually made in an Information Systems course. The brief coverage of the topic and the absence of simple and inexpensive educational tools that could easily explore the role of BI to students do not allow the educator to stress the magnitude of BI. This paper addresses the need for an educational case which will demonstrate to the students the process used to create a BI application and the subsequent use of the BI tool in a simple but realistic way. © 2013 Springer Science+Business Media.","Business intelligence; Computer science teaching aids; Educational case","Business intelligence systems; Business studies; Business-users; Competitive business; Computer engineering; Computer science teaching; Database management; Dynamic Query; Educational tools; University curricula; Artificial intelligence; Competitive intelligence; Computer science; Decision making; Decision support systems; Innovation; Knowledge management; Management science; Curricula",Conference Paper,"Final","",Scopus,2-s2.0-84866599227
"De Falco I., Esposito M., De Pietro G.","6701783291;25926920500;6508247659;","An advanced DSS for classification of multiple-sclerosis lesions in MR images",2013,"Lecture Notes in Electrical Engineering","151 LNEE",,,"391","402",,,"10.1007/978-1-4614-3558-7_32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865999804&doi=10.1007%2f978-1-4614-3558-7_32&partnerID=40&md5=d57fae08f4500f7246d7a461a291fad9","Institute for High Performance Computing and Networking ICAR-CNR, Via P. Castellino 111, 80131 Naples, Italy","De Falco, I., Institute for High Performance Computing and Networking ICAR-CNR, Via P. Castellino 111, 80131 Naples, Italy; Esposito, M., Institute for High Performance Computing and Networking ICAR-CNR, Via P. Castellino 111, 80131 Naples, Italy; De Pietro, G., Institute for High Performance Computing and Networking ICAR-CNR, Via P. Castellino 111, 80131 Naples, Italy","The use of Magnetic Resonance as a supporting tool in the diagnosis and monitoring of Multiple Sclerosis and in the assessment of treatment effects requires the accurate classification of cerebral white matter lesions. In order to support neuroradiologists in this task, this paper presents an advanced Decision Support System devised to: (i) encode the expert's medical knowledge in terms of linguistic variables, linguistic values, and fuzzy rules; (ii) implement a fuzzy inference technique able to best fit the expert's decision-making process to identify MS lesions; (iii) employ an adaptive fuzzy technique to tune the shapes of the membership functions for each linguistic variable involved in the rules. The performance of the DSS is quantitatively evaluated on 120 patients affected by MS. © 2013 Springer Science+Business Media.",,"Adaptive fuzzy techniques; Best fit; Decision making process; Fuzzy inference techniques; Linguistic values; Linguistic variable; Medical knowledge; MR images; Multiple sclerosis; Supporting tool; Treatment effects; White matter lesions; Artificial intelligence; Decision support systems; Diagnosis; Linguistics; Magnetic resonance; Classification (of information)",Conference Paper,"Final","",Scopus,2-s2.0-84865999804
